,Campus,Term,Course Code,Course Title,Course Description,Activity Type,Section,Credits,Days,Time,Building,Room,Instructor,Credit,GenEd Requirements,Registration Code,enrollCount,enrollMaximum,myPlanLink,index,mean,median,sd,fourpointo_per,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Start,End,prefix,Matched_Name,Name,Rating,Difficulty,Link,Department,Instructor Name,amount_learned_median,grading_techniques_median,instructors_contribution_median,instructors_effectiveness_median,instuctors_interest_median,the_course_as_a_whole_median,the_course_content_median,Clean_Course_Code,UUID
1783,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AC,4,Th,2:30 PM - 3:20 PM,GUG,204,None,4,RSN,12748,28,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,14:30,15:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1784,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AD,4,Th,3:30 PM - 4:20 PM,SIG,228,None,4,RSN,12749,26,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,15:30,16:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1785,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AE,4,Th,11:30 AM - 12:20 PM,JHN,026,None,4,RSN,12750,28,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,11:30,12:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1786,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AF,4,Th,10:30 AM - 11:20 AM,THO,202,None,4,RSN,12751,24,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,10:30,11:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1787,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AG,4,Th,12:30 PM - 1:20 PM,GUG,204,None,4,RSN,12752,28,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,12:30,13:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1788,Seattle,Spring 2025,CSE    163,Intermediate Data Programming,Intermediate data programming. Topics include writing programs that manipulate different types of data; leveraging the growing ecosystem of tools and libraries for data programming; writing programs that are both efficient and elegant; and writing medium-scale programs (100 to 200 lines).,quiz,AH,4,Th,8:30 AM - 9:20 AM,SIG,226,None,4,RSN,12753,13,28,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20163/details,CSE163,3.4382702702702703,3.7,0.8048939714846666,17.783783783783782,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,17.0,2.0,11.0,4.0,10.0,13.0,13.0,18.0,24.0,22.0,20.0,31.0,40.0,34.0,45.0,50.0,97.0,87.0,152.0,180.0,298.0,259.0,329.0,08:30,09:20,CSE,No Match,,,,,,,,,,,,,,CSE163,CSE163ASpring2025
1790,Seattle,Spring 2025,CSE    180,Introduction to Data Science,"Survey course introducing the essential elements of data science: data collection, management, curation, and cleaning; summarizing and visualizing data; basic ideas of statistical inference, machine learning. Students will gain hands-on experience through computing labs.",quiz,AA,4,Th,1:30 PM - 2:20 PM,ECE,054,None,4,RSN,12757,23,23,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20180/details,CSE180,3.7555819477434675,4.0,0.626113037275289,77.19714964370546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,8.0,9.0,3.0,5.0,7.0,14.0,325.0,13:30,14:20,CSE,No Match,,,,,,,,,,,,,,CSE180,CSE180ASpring2025
1791,Seattle,Spring 2025,CSE    180,Introduction to Data Science,"Survey course introducing the essential elements of data science: data collection, management, curation, and cleaning; summarizing and visualizing data; basic ideas of statistical inference, machine learning. Students will gain hands-on experience through computing labs.",quiz,AB,4,Th,2:30 PM - 3:20 PM,ECE,054,None,4,RSN,12758,23,23,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20180/details,CSE180,3.7555819477434675,4.0,0.626113037275289,77.19714964370546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,8.0,9.0,3.0,5.0,7.0,14.0,325.0,14:30,15:20,CSE,No Match,,,,,,,,,,,,,,CSE180,CSE180ASpring2025
1792,Seattle,Spring 2025,CSE    180,Introduction to Data Science,"Survey course introducing the essential elements of data science: data collection, management, curation, and cleaning; summarizing and visualizing data; basic ideas of statistical inference, machine learning. Students will gain hands-on experience through computing labs.",quiz,AC,4,Th,3:30 PM - 4:20 PM,MGH,284,None,4,RSN,12759,22,22,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20180/details,CSE180,3.7555819477434675,4.0,0.626113037275289,77.19714964370546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,8.0,9.0,3.0,5.0,7.0,14.0,325.0,15:30,16:20,CSE,No Match,,,,,,,,,,,,,,CSE180,CSE180ASpring2025
1793,Seattle,Spring 2025,CSE    180,Introduction to Data Science,"Survey course introducing the essential elements of data science: data collection, management, curation, and cleaning; summarizing and visualizing data; basic ideas of statistical inference, machine learning. Students will gain hands-on experience through computing labs.",quiz,AD,4,Th,12:30 PM - 1:20 PM,DEM,004,None,4,RSN,12760,22,22,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20180/details,CSE180,3.7555819477434675,4.0,0.626113037275289,77.19714964370546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,8.0,9.0,3.0,5.0,7.0,14.0,325.0,12:30,13:20,CSE,No Match,,,,,,,,,,,,,,CSE180,CSE180ASpring2025
1798,Seattle,Summer 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AA,4,Th,12:00 PM - 1:00 PM,ECE,025,None,4,RSN,10831,0,35,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,12:00,13:00,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASummer2025
1799,Seattle,Summer 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AB,4,Th,12:00 PM - 1:00 PM,SWS,026,None,4,RSN,10832,0,30,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,12:00,13:00,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASummer2025
1800,Seattle,Summer 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AC,4,Th,12:00 PM - 1:00 PM,CHL,105,None,4,RSN,10833,0,25,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,12:00,13:00,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASummer2025
1802,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AA,4,Th,9:30 AM - 10:20 AM,THO,202,None,4,RSN,12765,10,26,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,09:30,10:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASpring2025
1803,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AB,4,Th,10:30 AM - 11:20 AM,THO,211,None,4,RSN,12766,23,26,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,10:30,11:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASpring2025
1804,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AC,4,Th,11:30 AM - 12:20 PM,ECE,031,None,4,RSN,12767,19,26,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,11:30,12:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASpring2025
1805,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AD,4,Th,12:30 PM - 1:20 PM,CHL,101,None,4,RSN,12768,11,26,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,12:30,13:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASpring2025
1806,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,AE,4,Th,11:30 AM - 12:20 PM,MGH,287,None,4,RSN,12769,11,26,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,11:30,12:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311ASpring2025
1808,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,BA,4,Th,12:30 PM - 1:20 PM,THO,334,None,4,RSN,12771,27,27,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,12:30,13:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311BSpring2025
1809,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,BB,4,Th,1:30 PM - 2:20 PM,MEB,251,None,4,RSN,12772,27,27,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,13:30,14:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311BSpring2025
1810,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,BC,4,Th,2:30 PM - 3:20 PM,THO,334,None,4,RSN,12773,27,27,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,14:30,15:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311BSpring2025
1811,Seattle,Spring 2025,CSE    311,Foundations of Computing I,"Examines fundamentals of logic, set theory, induction, and algebraic structures with applications to computing; finite state machines; and limits of computability.",quiz,BD,4,Th,3:30 PM - 4:20 PM,MEB,251,None,4,RSN,12774,22,27,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20311/details,CSE311,3.4491265597147946,3.6,0.5878418670284381,13.368983957219251,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,3.0,0.0,29.0,9.0,14.0,9.0,20.0,19.0,34.0,41.0,43.0,30.0,138.0,115.0,140.0,159.0,200.0,250.0,288.0,332.0,278.0,230.0,375.0,15:30,16:20,CSE,No Match,,,,,,,,,,,,,,CSE311,CSE311BSpring2025
1813,Seattle,Summer 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AA,4,Th,12:00 PM - 1:00 PM,CHL,101,None,4,RSN,10835,0,30,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,12:00,13:00,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASummer2025
1814,Seattle,Summer 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AB,4,Th,12:00 PM - 1:00 PM,ECE,031,None,4,RSN,10836,0,30,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,12:00,13:00,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASummer2025
1816,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AA,4,Th,1:30 PM - 2:20 PM,THO,235,None,4,RSN,12777,0,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,13:30,14:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1817,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AC,4,Th,10:30 AM - 11:20 AM,ECE,042,None,4,RSN,12779,28,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,10:30,11:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1818,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AD,4,Th,11:30 AM - 12:20 PM,JHN,111,None,4,RSN,12780,29,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,11:30,12:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1819,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AE,4,Th,12:30 PM - 1:20 PM,JHN,022,None,4,RSN,12781,29,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,12:30,13:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1820,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AF,4,Th,1:30 PM - 2:20 PM,ECE,025,None,4,RSN,12782,29,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,13:30,14:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1821,Seattle,Spring 2025,CSE    312,Foundations of Computing II,Examines fundamentals of enumeration and discrete probability; applications of randomness to computing; polynomial-time versus NP; and NP-completeness.,quiz,AG,4,Th,2:30 PM - 3:20 PM,THO,235,None,4,RSN,12783,29,29,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20312/details,CSE312,3.468426724137931,3.6,0.5419124251456131,11.458333333333332,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,20.0,11.0,12.0,16.0,18.0,37.0,22.0,46.0,53.0,46.0,108.0,103.0,124.0,159.0,202.0,227.0,260.0,288.0,313.0,350.0,319.0,14:30,15:20,CSE,No Match,,,,,,,,,,,,,,CSE312,CSE312ASpring2025
1823,Seattle,Summer 2025,CSE    331,Software Design and Implementation,"Explores concepts and techniques for design and construction of reliable and maintainable software systems in modern high-level languages: specifications; program structure and design; program-correctness approaches, including testing; and event-driven programming (e.g., graphical user interface).",quiz,AA,4,Th,10:50 AM - 11:50 AM,ECE,025,None,4,,10838,0,35,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20331/details,CSE331,3.429256134969325,3.6,0.7050208185864275,11.11963190184049,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,3.0,7.0,4.0,3.0,7.0,1.0,5.0,3.0,2.0,35.0,11.0,9.0,20.0,13.0,20.0,18.0,33.0,47.0,22.0,97.0,85.0,85.0,127.0,158.0,227.0,240.0,293.0,334.0,348.0,290.0,10:50,11:50,CSE,No Match,,,,,,,,,,,,,,CSE331,CSE331ASummer2025
1824,Seattle,Summer 2025,CSE    331,Software Design and Implementation,"Explores concepts and techniques for design and construction of reliable and maintainable software systems in modern high-level languages: specifications; program structure and design; program-correctness approaches, including testing; and event-driven programming (e.g., graphical user interface).",quiz,AB,4,Th,10:50 AM - 11:50 AM,BNS,117,None,4,,10839,0,40,https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20331/details,CSE331,3.429256134969325,3.6,0.7050208185864275,11.11963190184049,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,3.0,7.0,4.0,3.0,7.0,1.0,5.0,3.0,2.0,35.0,11.0,9.0,20.0,13.0,20.0,18.0,33.0,47.0,22.0,97.0,85.0,85.0,127.0,158.0,227.0,240.0,293.0,334.0,348.0,290.0,10:50,11:50,CSE,No Match,,,,,,,,,,,,,,CSE331,CSE331ASummer2025
